name,division,nGames,team,KDA,Takedowns,Kill Participation,Hero Damage,DPM,Damage Taken,Healing,HPM,Siege Damage,Team Fight Hero Damage,Team Fight Healing,Team Fight Damage Taken,XP Contribution,XPM,CC Time,Root Time,Silence Time,Stun Time,Time Dead,Time Dead %
Bowserking#659436,C,7,License to Kill,7.5,12.857142857142858,0.9445728291316525,41377,1694.2748529547493,87748.57142857143,784,1229.9432005345188,58445.71428571428,25603.85714285714,0,60445,9293.714285714286,396.843990308308,266.7142857142857,0,2.4285714285714284,48.714285714285715,90.42857142857143,0.06037624804117087
DrinkingBird#10822567,C,7,License to Kill,6.071428571428571,12.142857142857142,0.9032913165266107,71753.14285714286,3029.3325111620366,39209,0,365.5069707380562,132285.42857142858,31958,153,19971.714285714286,14596.285714285714,627.534206486507,84.28571428571429,0,2.857142857142857,5.571428571428571,95.71428571428571,0.06195021951553887
jaydik#9983032,C,7,License to Kill,6.6923076923076925,12.428571428571429,0.9171218487394958,55359.42857142857,2337.7348456036334,32870.28571428572,0,223.34248669477483,160048,23474.571428571428,0,15857.42857142857,16285.714285714286,696.4447323717786,190,0,3.857142857142857,0,83.28571428571429,0.057984507362656534
Blañk#4859953,C,7,License to Kill,4.875,11.142857142857142,0.8141456582633053,45939.57142857143,1909.0082650955555,74702.14285714286,0,967.3545161642448,152767.85714285713,28295.428571428572,0,41833.142857142855,19301.571428571428,826.0359806044577,130.28571428571428,0,0,23,104.42857142857143,0.07298920957630863
DallyingPig#4220139,C,7,Frank's Furters,2.1923076923076925,8.142857142857142,0.8643320964749537,33395.28571428572,1378.0728748857707,91783.42857142857,1576.142857142857,1326.0276567118885,64779,25040.285714285714,0,68504.14285714286,10428.42857142857,454.18254751986103,441.42857142857144,0,0,41.42857142857143,159.57142857142858,0.11937799414535323
DjColdCuts#3739767,C,7,Frank's Furters,2.4545454545454546,7.714285714285714,0.8309369202226345,30209.14285714286,1287.006613170745,76558.71428571429,0,812.8281604833685,122883.71428571429,16612.428571428572,0,37317.857142857145,15968.857142857143,670.2191142039583,97.71428571428571,4.714285714285714,0.8571428571428571,14.714285714285714,129.14285714285714,0.09643266517156504
Bogz#6042074,C,7,Frank's Furters,3.388888888888889,8.714285714285714,0.9301056086770373,68144,2918.3099253419523,37516.57142857143,0,1107.8745333346903,96680.71428571429,32800.857142857145,0,22206.571428571428,11783.142857142857,497.30312641877674,254,6,0,1.1428571428571428,118.14285714285714,0.08750240521656465
MagicMaster#4209148,C,7,Frank's Furters,1.9285714285714286,7.714285714285714,0.856937705151991,53208.142857142855,2287.081389717838,56173.142857142855,0,531.5240798620515,127646.57142857143,30185,0,35334.857142857145,17042,751.0275969229264,153,0,0,11,163.28571428571428,0.11857469281526072
Indecisive#7118694,C,7,Frank's Furters,3.2777777777777777,8.428571428571429,0.8566790352504638,19231.85714285714,818.0686527415013,37081.42857142857,80042,3440.39567603918,39660.57142857143,11372.42857142857,13502.714285714286,19937.571428571428,7419,311.8718126632658,157.57142857142858,18.285714285714285,10.285714285714286,31,124.14285714285714,0.09489059653942415
Bodiddly#604969,C,7,License to Kill,7.25,12.428571428571429,0.9164565826330532,10447,444.16733625547676,30172.428571428572,92721.28571428571,4014.191186036043,28369.14285714286,5485.571428571428,16865.285714285714,17913.571428571428,7270.714285714285,306.32724940871634,2672.1428571428573,3.142857142857143,8.428571428571429,1.4285714285714286,82.42857142857143,0.05052244993212935
TheBoomer444#10717029,C,9,Protectors of Shakuras,7.428571428571429,11.555555555555555,0.8360472134981939,17004.333333333332,921.7841101116753,29918,83200.44444444444,4474.467516767457,23287.666666666668,8878.333333333334,21684.777777777777,16825.222222222223,6531.555555555556,353.20318952103804,1349.4444444444443,10.333333333333334,9.11111111111111,10.222222222222221,59.111111111111114,0.05364631169718051
Aurum#8740639,C,9,Protectors of Shakuras,12,13.333333333333334,0.9551146384479716,38640.11111111111,2044.1781650000225,77646.88888888889,6481.444444444444,1661.9254482504466,53870.77777777778,29541.11111111111,0,56768.22222222222,9534,501.1975418838253,195.77777777777777,0,2,24.77777777777778,34.77777777777778,0.03316546142328515
Chopper#579560,C,9,Protectors of Shakuras,6.2105263157894735,13.11111111111111,0.9407497005536221,52847.22222222222,2820.587545672821,39639.11111111111,0,581.3649272046955,68618.11111111111,28300.666666666668,0,26404.88888888889,10083,535.3079564747507,72.66666666666667,16,7.555555555555555,9.555555555555555,77,0.06524005956750802
Dagnie#10949,C,9,Protectors of Shakuras,4.75,10.555555555555555,0.7822152429995567,35689.444444444445,1979.768119225899,65072,0,1241.4434764416894,99690.66666666667,20304.666666666668,0,36348.444444444445,14378.888888888889,777.2975798475798,139.33333333333334,8.11111111111111,0,15.777777777777779,83.33333333333333,0.07280894345003798
